id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1304124156129271808,1304124156129271808,"2020-09-10 20:26:42 Paris, Madrid (heure d’été)",2020-09-10,20:26:42,+0200,72568426,versace,VERSACE,,Live from Venice: #DiegoBoneta attends the 77th #VeniceFilmFestival in #AtelierVersace tailoring embellished with degradé Swarovski crystal embroidery. #VersaceCelebrities #Venezia77   https://t.co/XVQnNifstS  https://t.co/PaGw8t7IPO,en,[],['http://e-versace.com/celebrities'],['https://pbs.twimg.com/media/EhkuARAXsAEvG-k.jpg'],7,42,272,"['diegoboneta', 'venicefilmfestival', 'atelierversace', 'versacecelebrities', 'venezia77']",[],https://twitter.com/Versace/status/1304124156129271808,False,,1,https://pbs.twimg.com/media/EhkuARAXsAEvG-k.jpg,,,,,,,[],,,,
1304113218361720833,1304113218361720833,"2020-09-10 19:43:15 Paris, Madrid (heure d’été)",2020-09-10,19:43:15,+0200,72568426,versace,VERSACE,,Tweed all about it - tailored separates and playful knits.   Discover new #VersacePreFall20 arrivals:  https://t.co/mhhshAW0Na  https://t.co/mY9H8OMP4a,en,[],['http://e-versace.com/women_new_in'],['https://pbs.twimg.com/media/EhkkDpnXkAAzkBp.jpg'],3,21,236,['versaceprefall20'],[],https://twitter.com/Versace/status/1304113218361720833,False,,1,https://pbs.twimg.com/media/EhkkDpnXkAAzkBp.jpg,,,,,,,[],,,,
1304047268513935360,1304047268513935360,"2020-09-10 15:21:11 Paris, Madrid (heure d’été)",2020-09-10,15:21:11,+0200,72568426,versace,VERSACE,,In all the right places - the curvy #VersaceVirtus bucket bag is featured in range of colors and sizes.   Shop now:  https://t.co/Yre1AesTG4  https://t.co/WNTAPBMFYb,en,[],['http://e-versace.com/virtus'],['https://pbs.twimg.com/media/EhjoE25WsAImqHY.jpg'],4,38,376,['versacevirtus'],[],https://twitter.com/Versace/status/1304047268513935360,False,,1,https://pbs.twimg.com/media/EhjoE25WsAImqHY.jpg,,,,,,,[],,,,
1303975044658462720,1303975044658462720,"2020-09-10 10:34:11 Paris, Madrid (heure d’été)",2020-09-10,10:34:11,+0200,72568426,versace,VERSACE,,Stop and smell the roses - new romantic workwear from the #VersacePreFall20 Collection is available now:  https://t.co/mhhshAW0Na  https://t.co/nBETcuZJRN,en,[],['http://e-versace.com/women_new_in'],['https://pbs.twimg.com/media/EhimY9BXkAAbTnA.jpg'],8,59,492,['versaceprefall20'],[],https://twitter.com/Versace/status/1303975044658462720,False,,1,https://pbs.twimg.com/media/EhimY9BXkAAbTnA.jpg,,,,,,,[],,,,
1303778690187300864,1303778690187300864,"2020-09-09 21:33:57 Paris, Madrid (heure d’été)",2020-09-09,21:33:57,+0200,72568426,versace,VERSACE,,Good for the sole - #VersaceChainReaction sneakers set on a chunky chain-link sole.  See the new colorways:  https://t.co/cQxQt2he7B  https://t.co/SWeuRjAkdh,en,[],['http://e-versace.com/men_chainreaction'],['https://pbs.twimg.com/media/EhfzzoJWAAEHHdg.jpg'],5,51,471,['versacechainreaction'],[],https://twitter.com/Versace/status/1303778690187300864,False,,1,https://pbs.twimg.com/media/EhfzzoJWAAEHHdg.jpg,,,,,,,[],,,,
1303677192191315969,1303677192191315969,"2020-09-09 14:50:38 Paris, Madrid (heure d’été)",2020-09-09,14:50:38,+0200,72568426,versace,VERSACE,,Double take - #VersacePreFall20   Looks for him:  https://t.co/20x3KnkLEe  Looks for her:  https://t.co/mhhshAW0Na  https://t.co/nipuirVQcX,en,[],"['http://e-versace.com/men_new_in', 'http://e-versace.com/women_new_in']",['https://pbs.twimg.com/media/EheXflRXcAIpjWn.jpg'],1,39,270,['versaceprefall20'],[],https://twitter.com/Versace/status/1303677192191315969,False,,1,https://pbs.twimg.com/media/EheXflRXcAIpjWn.jpg,,,,,,,[],,,,
1303594423545200646,1303594423545200646,"2020-09-09 09:21:44 Paris, Madrid (heure d’été)",2020-09-09,09:21:44,+0200,72568426,versace,VERSACE,,"Hot step - #VersaceSqualo sneakers, set on a shark-inspired sole, in bold fluo colorways.   View the latest footwear designs:  https://t.co/3ckGvx9CyV  https://t.co/oRe7L8l96W",en,[],['http://e-versace.com/squalo'],['https://pbs.twimg.com/media/EhdMN5PXkAAoacS.jpg'],2,49,411,['versacesqualo'],[],https://twitter.com/Versace/status/1303594423545200646,False,,1,https://pbs.twimg.com/media/EhdMN5PXkAAoacS.jpg,,,,,,,[],,,,
1303387999510695940,1303387999510695940,"2020-09-08 19:41:29 Paris, Madrid (heure d’été)",2020-09-08,19:41:29,+0200,72568426,versace,VERSACE,,Pop Temple - new prints and fall layers. See the #VersacePreFall20 Collection:  https://t.co/20x3KnkLEe  https://t.co/xIECQoQwHH,en,[],['http://e-versace.com/men_new_in'],['https://pbs.twimg.com/media/EhaQeT7XgAArbi9.jpg'],6,39,391,['versaceprefall20'],[],https://twitter.com/Versace/status/1303387999510695940,False,,1,https://pbs.twimg.com/media/EhaQeT7XgAArbi9.jpg,,,,,,,[],,,,
1303073869788598274,1303073869788598274,"2020-09-07 22:53:15 Paris, Madrid (heure d’été)",2020-09-07,22:53:15,+0200,72568426,versace,VERSACE,,Kick back - #VersaceChainReaction sneakers in metallic finishes for #VersacePreFall20.  Shop the selection:  https://t.co/mhhshAW0Na  https://t.co/F0K2CXSKgh,en,[],['http://e-versace.com/women_new_in'],['https://pbs.twimg.com/media/EhVyxfIXYAUSv91.jpg'],8,44,414,"['versacechainreaction', 'versaceprefall20']",[],https://twitter.com/Versace/status/1303073869788598274,False,,1,https://pbs.twimg.com/media/EhVyxfIXYAUSv91.jpg,,,,,,,[],,,,
1302932159959830531,1302932159959830531,"2020-09-07 13:30:08 Paris, Madrid (heure d’été)",2020-09-07,13:30:08,+0200,72568426,versace,VERSACE,,Sweater weather - #VersacePreFall20 knitwear featuring iconic brand codes.  View the selection:  https://t.co/20x3KnkLEe  https://t.co/CysqS2D8Gh,en,[],['http://e-versace.com/men_new_in'],['https://pbs.twimg.com/media/EhTx4_fXkAIhZRR.jpg'],2,49,508,['versaceprefall20'],[],https://twitter.com/Versace/status/1302932159959830531,False,,1,https://pbs.twimg.com/media/EhTx4_fXkAIhZRR.jpg,,,,,,,[],,,,
1302720179340742658,1302720179340742658,"2020-09-06 23:27:48 Paris, Madrid (heure d’été)",2020-09-06,23:27:48,+0200,72568426,versace,VERSACE,,Cinched by the Virtus - evening looks and #VersaceVirtus accessories for fall.  See the latest styles:  https://t.co/mhhshAW0Na  https://t.co/xayFxlli1b,en,[],['http://e-versace.com/women_new_in'],['https://pbs.twimg.com/media/EhQxGItXgAEfMQD.jpg'],7,80,669,['versacevirtus'],[],https://twitter.com/Versace/status/1302720179340742658,False,,1,https://pbs.twimg.com/media/EhQxGItXgAEfMQD.jpg,,,,,,,[],,,,
1302613479560482819,1302613479560482819,"2020-09-06 16:23:49 Paris, Madrid (heure d’été)",2020-09-06,16:23:49,+0200,72568426,versace,VERSACE,,#VersacePreFall20 biker silhouettes and new prints for him and her.   Explore the collection:  https://t.co/20x3KnkLEe  https://t.co/qv5VJMlNqL,en,[],['http://e-versace.com/men_new_in'],['https://pbs.twimg.com/media/EhPQDcEWoAEUuH1.jpg'],6,42,408,['versaceprefall20'],[],https://twitter.com/Versace/status/1302613479560482819,False,,1,https://pbs.twimg.com/media/EhPQDcEWoAEUuH1.jpg,,,,,,,[],,,,
1302527302195130369,1302527302195130369,"2020-09-06 10:41:23 Paris, Madrid (heure d’été)",2020-09-06,10:41:23,+0200,72568426,versace,VERSACE,,Back to black - shop classic accessories from the #VersaceVirtus line:  https://t.co/Yre1AesTG4  https://t.co/de5zp9b8I9,en,[],['http://e-versace.com/virtus'],['https://pbs.twimg.com/media/EhOBrSqWsAAxxlj.jpg'],10,65,616,['versacevirtus'],[],https://twitter.com/Versace/status/1302527302195130369,False,,1,https://pbs.twimg.com/media/EhOBrSqWsAAxxlj.jpg,,,,,,,[],,,,
1302271008376848384,1302271008376848384,"2020-09-05 17:42:58 Paris, Madrid (heure d’été)",2020-09-05,17:42:58,+0200,72568426,versace,VERSACE,,#MayaHawke wears an #AtelierVersace dress to the 77th International #VeniceFilmFestival. The mermaid gown is embellished with an embroidered degradé of Swarovski crystals and lustrous appliqué. #Venezia77 #VersaceCelebrities   https://t.co/XVQnNifstS  https://t.co/DZgd2YDD4s,en,[],['http://e-versace.com/celebrities'],['https://pbs.twimg.com/media/EhKYk81WAAMdCR7.jpg'],7,72,526,"['mayahawke', 'atelierversace', 'venicefilmfestival', 'venezia77', 'versacecelebrities']",[],https://twitter.com/Versace/status/1302271008376848384,False,,1,https://pbs.twimg.com/media/EhKYk81WAAMdCR7.jpg,,,,,,,[],,,,
1301837950737670149,1301837950737670149,"2020-09-04 13:02:09 Paris, Madrid (heure d’été)",2020-09-04,13:02:09,+0200,72568426,versace,VERSACE,,Popstar flash - #JustinBieber wears a #VersaceFlash21 printed look in #DjKhaled and #Drake’s new video. #VersaceCelebrities  https://t.co/sWGFAmN5oF,en,[],[],[],69,691,2819,"['justinbieber', 'versaceflash21', 'djkhaled', 'drake', 'versacecelebrities']",[],https://twitter.com/Versace/status/1301837950737670149,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1301837896970895360/pu/img/ncT9M7OWmoOik2h8.jpg,,,,,,,[],,,,
1301235635022422016,1301235635022422016,"2020-09-02 21:08:45 Paris, Madrid (heure d’été)",2020-09-02,21:08:45,+0200,72568426,versace,VERSACE,,"#Elodie attends the #VeniceFilmFestival in a custom Versace dress. The Metal Mesh design boasts a sculptural, crystal-encrusted neckline and high leg split. #Venezia77 #VersaceCelebrities   https://t.co/XVQnNifstS  https://t.co/SLaWDO4Jzb",en,[],['http://e-versace.com/celebrities'],['https://pbs.twimg.com/media/Eg7q6NGWkAEHBRo.jpg'],6,63,554,"['elodie', 'venicefilmfestival', 'venezia77', 'versacecelebrities']",[],https://twitter.com/Versace/status/1301235635022422016,False,,1,https://pbs.twimg.com/media/Eg7q6NGWkAEHBRo.jpg,,,,,,,[],,,,
1300317186305777665,1300317186305777665,"2020-08-31 08:19:10 Paris, Madrid (heure d’été)",2020-08-31,08:19:10,+0200,72568426,versace,VERSACE,,#JoeyKing arrives to the #VMAs wearing a #VersacePreFall20 mini dress in the neon Tie-Dye Roses print. #VersaceCelebrities   https://t.co/XVQnNifstS  https://t.co/1AdNYGAZP5,en,[],['http://e-versace.com/celebrities'],['https://pbs.twimg.com/media/EgunlhaXsAADQ2o.jpg'],10,76,864,"['joeyking', 'vmas', 'versaceprefall20', 'versacecelebrities']",[],https://twitter.com/Versace/status/1300317186305777665,False,,1,https://pbs.twimg.com/media/EgunlhaXsAADQ2o.jpg,,,,,,,[],,,,
1300314226146390017,1300314226146390017,"2020-08-31 08:07:24 Paris, Madrid (heure d’été)",2020-08-31,08:07:24,+0200,72568426,versace,VERSACE,,#DojaCat receives the Best New Artist Award at the #VMAs in a #VersaceSS20 mini dress enriched with Jungle-inspired embroidery. #VersaceCelebrities   https://t.co/XVQnNifstS  https://t.co/274vI70bVc,en,[],['http://e-versace.com/celebrities'],['https://pbs.twimg.com/media/Eguk5RqWAAA8ybc.jpg'],14,67,608,"['dojacat', 'vmas', 'versacess20', 'versacecelebrities']",[],https://twitter.com/Versace/status/1300314226146390017,False,,1,https://pbs.twimg.com/media/Eguk5RqWAAA8ybc.jpg,,,,,,,[],,,,
